78015_0215_00064;78015_0215;64;;Rue des Coteaux;78570;78015;Andrésy;;;630064.6;6876182.15;2.044542;48.981767;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00066;78015_0215;66;;Rue des Coteaux;78570;78015;Andrésy;;;630074.69;6876169.24;2.044682;48.981652;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00068;78015_0215;68;;Rue des Coteaux;78570;78015;Andrésy;;;630102.47;6876202.38;2.045056;48.981953;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00070;78015_0215;70;;Rue des Coteaux;78570;78015;Andrésy;;;630127.52;6876203.52;2.045398;48.981966;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00074;78015_0215;74;;Rue des Coteaux;78570;78015;Andrésy;;;630167.92;6876245.74;2.045943;48.98235;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00082;78015_0215;82;;Rue des Coteaux;78570;78015;Andrésy;;;630206.5;6876300.55;2.046461;48.982847;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_0215_00084;78015_0215;84;;Rue des Coteaux;78570;78015;Andrésy;;;630224.01;6876319.8;2.046697;48.983022;;;ANDRESY;RUE DES COTEAUX;inconnue;inconnue
78015_b057_00019;78015_B057;19;;Lieu-Dit Île Peygrand;78570;78015;Andrésy;;;631963.19;6876437.97;2.070437;48.984271;;;ANDRESY;LIEU DIT ILE PEYGRAND;inconnue;inconnue
78015_b057_00067;78015_B057;67;;Lieu-Dit Île Peygrand;78570;78015;Andrésy;;;631109.28;6875335.6;2.058951;48.974268;;;ANDRESY;LIEU DIT ILE PEYGRAND;inconnue;inconnue
78015_b057_00109;78015_B057;109;;Lieu-Dit Île Peygrand;78570;78015;Andrésy;;;630906.14;6874957.67;2.056238;48.970848;;;ANDRESY;LIEU DIT ILE PEYGRAND;inconnue;inconnue
78015_a013_00001;78015_A013;1;;Residence les Pinsons;78570;78015;Andrésy;;;630063.81;6874507.93;2.044808;48.966713;;;ANDRESY;RESIDENCE LES PINSONS;inconnue;
78015_a013_00002;78015_A013;2;;Residence les Pinsons;78570;78015;Andrésy;;;630063.81;6874507.93;2.044808;48.966713;;;ANDRESY;RESIDENCE LES PINSONS;inconnue;
78015_a013_00003;78015_A013;3;;Residence les Pinsons;78570;78015;Andrésy;;;630063.81;6874507.93;2.044808;48.966713;;;ANDRESY;RESIDENCE LES PINSONS;inconnue;
78015_a013_00004;78015_A013;4;;Residence les Pinsons;78570;78015;Andrésy;;;630063.81;6874507.93;2.044808;48.966713;;;ANDRESY;RESIDENCE LES PINSONS;inconnue;
78015_a013_00005;78015_A013;5;;Residence les Pinsons;78570;78015;Andrésy;;;630063.81;6874507.93;2.044808;48.966713;;;ANDRESY;RESIDENCE LES PINSONS;inconnue;
78015_0036_00001;78015_0036;1;;Impasse des Barils;78570;78015;Andrésy;;;631042.62;6875976.66;2.057936;48.980025;;;ANDRESY;IMPASSE DES BARILS;inconnue;inconnue
78015_0036_00002;78015_0036;2;;Impasse des Barils;78570;78015;Andrésy;;;630994.62;6876014.82;2.057274;48.980363;;;ANDRESY;IMPASSE DES BARILS;inconnue;inconnue
78015_0036_00003;78015_0036;3;;Impasse des Barils;78570;78015;Andrésy;;;630981.41;6876012.65;2.057094;48.980342;;;ANDRESY;IMPASSE DES BARILS;inconnue;inconnue
78015_0435_00001;78015_0435;1;;Sentier des Jaunisses;78570;78015;Andrésy;;;630555.97;6876020.52;2.051281;48.980367;;;ANDRESY;SENTIER DES JAUNISSES;inconnue;
78015_0594_00001;78015_0594;1;;Sente des Petits Grès;78570;78015;Andrésy;;;630057.63;6874892.25;2.04466;48.970168;;;ANDRESY;SENTE DES PETITS GRES;inconnue;inconnue
78015_0594_00003;78015_0594;3;;Sente des Petits Grès;78570;78015;Andrésy;;;630039.1;6874958.87;2.044396;48.970765;;;ANDRESY;SENTE DES PETITS GRES;inconnue;inconnue
78015_0594_00005;78015_0594;5;;Sente des Petits Grès;78570;78015;Andrésy;;;630071.28;6874882.85;2.044848;48.970085;;;ANDRESY;SENTE DES PETITS GRES;inconnue;inconnue
78015_0480_00045;78015_0480;45;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631694.34;6877404.72;2.066608;48.992935;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00047;78015_0480;47;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631693.67;6877379.04;2.066603;48.992704;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00049;78015_0480;49;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631697.21;6877332.29;2.066659;48.992284;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00051;78015_0480;51;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631695.29;6877317.96;2.066635;48.992155;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00053;78015_0480;53;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631696.33;6877295.15;2.066653;48.99195;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00057;78015_0480;57;;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631695.73;6877362;2.066634;48.992551;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00051_bis;78015_0480;51;bis;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631697.48;6877324.16;2.066664;48.992211;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00049_bis;78015_0480;49;bis;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631744.78;6877319.16;2.067311;48.992171;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00047_bis;78015_0480;47;bis;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631695.73;6877362;2.066634;48.992551;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00053_bis;78015_0480;53;bis;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631696.47;6877281.58;2.066657;48.991828;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0480_00049_ter;78015_0480;49;ter;Rue du Mal de Lattre de Tassigny;78570;78015;Andrésy;;;631774.24;6877316.25;2.067714;48.992148;;;ANDRESY;RUE DU MAL DE LATTRE DE TASSIGNY;inconnue;inconnue
78015_0153_00002;78015_0153;2;;Sente du Clocher;78570;78015;Andrésy;;;630895.62;6876123.11;2.055904;48.981326;;;ANDRESY;SENTE DU CLOCHER;inconnue;inconnue
78015_0153_00003;78015_0153;3;;Sente du Clocher;78570;78015;Andrésy;;;630840.73;6876142.34;2.055151;48.981493;;;ANDRESY;SENTE DU CLOCHER;inconnue;inconnue
78015_0153_00004;78015_0153;4;;Sente du Clocher;78570;78015;Andrésy;;;630841.33;6876143.55;2.055159;48.981504;;;ANDRESY;SENTE DU CLOCHER;inconnue;inconnue
78015_0153_00005;78015_0153;5;;Sente du Clocher;78570;78015;Andrésy;;;630818.23;6876152.39;2.054842;48.981581;;;ANDRESY;SENTE DU CLOCHER;inconnue;inconnue
78015_0153_00006;78015_0153;6;;Sente du Clocher;78570;78015;Andrésy;;;630814.61;6876162.22;2.054791;48.981669;;;ANDRESY;SENTE DU CLOCHER;inconnue;inconnue
78015_0160_00002;78015_0160;2;;Rue du Clos Malot;78570;78015;Andrésy;;;630909.87;6875710.66;2.056166;48.977619;;;ANDRESY;RUE DU CLOS MALOT;inconnue;inconnue
78015_0160_00003;78015_0160;3;;Rue du Clos Malot;78570;78015;Andrésy;;;630914.77;6875704.04;2.056234;48.97756;;;ANDRESY;RUE DU CLOS MALOT;inconnue;inconnue
78015_0160_00004;78015_0160;4;;Rue du Clos Malot;78570;78015;Andrésy;;;630928.6;6875697.98;2.056424;48.977507;;;ANDRESY;RUE DU CLOS MALOT;inconnue;inconnue
78015_0160_00005;78015_0160;5;;Rue du Clos Malot;78570;78015;Andrésy;;;630908.38;6875708.23;2.056146;48.977597;;;ANDRESY;RUE DU CLOS MALOT;inconnue;inconnue
78015_0160_00007;78015_0160;7;;Rue du Clos Malot;78570;78015;Andrésy;;;630903.22;6875711.85;2.056075;48.977629;;;ANDRESY;RUE DU CLOS MALOT;inconnue;inconnue
78015_0324_00001;78015_0324;1;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630189.59;6875379.33;2.046382;48.974562;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00002;78015_0324;2;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630191.19;6875390.43;2.046402;48.974662;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00003;78015_0324;3;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630180.9;6875387.11;2.046262;48.974631;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00004;78015_0324;4;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630182.37;6875399.77;2.04628;48.974745;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00005;78015_0324;5;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630166.78;6875399.85;2.046067;48.974744;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00006;78015_0324;6;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630170.19;6875409.26;2.046112;48.974829;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00007;78015_0324;7;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630160.41;6875405.6;2.045979;48.974795;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
78015_0324_00008;78015_0324;8;;Rue Frédéric Chopin;78570;78015;Andrésy;;;630160.48;6875417.94;2.045978;48.974906;;;ANDRESY;RUE FREDERIC CHOPIN;inconnue;inconnue
